No.,Card No,Employee ID,User name,Date,Time,Terminal,IN/OUT,Door
137,Card,0361,Name,2022-09-04,18:05:53,Terminal,In/Out,Door
138,Card,0335,Name,2022-09-04,18:15:03,Terminal,In/Out,Door
139,Card,0362,Name,2022-09-04,18:15:18,Terminal,In/Out,Door
140,Card,0341,Name,2022-09-04,18:19:28,Terminal,In/Out,Door
141,Card,5039,Name,2022-09-04,06:00:47,Terminal,In/Out,Door
142,Card,5039,Name,2022-09-04,06:03:25,Terminal,In/Out,Door
143,Card,0114,Name,2022-09-04,07:02:29,Terminal,In/Out,Door
144,Card,0114,Name,2022-09-04,07:03:07,Terminal,In/Out,Door
145,Card,5039,Name,2022-09-04,07:10:17,Terminal,In/Out,Door
146,Card,0114,Name,2022-09-04,07:45:53,Terminal,In/Out,Door
147,Card,0267,Name,2022-09-04,07:54:30,Terminal,In/Out,Door
148,Card,0122,Name,2022-09-04,08:14:07,Terminal,In/Out,Door
149,Card,0267,Name,2022-09-04,08:16:47,Terminal,In/Out,Door
150,Card,0267,Name,2022-09-04,08:17:13,Terminal,In/Out,Door
151,Card,2101,Name,2022-09-04,08:32:42,Terminal,In/Out,Door
152,Card,0081,Name,2022-09-04,08:37:27,Terminal,In/Out,Door
153,Card,0114,Name,2022-09-04,09:09:00,Terminal,In/Out,Door
154,Card,0259,Name,2022-09-04,09:21:04,Terminal,In/Out,Door
155,Card,0259,Name,2022-09-04,09:21:31,Terminal,In/Out,Door
156,Card,0362,Name,2022-09-04,09:38:30,Terminal,In/Out,Door
157,Card,0362,Name,2022-09-04,09:38:38,Terminal,In/Out,Door
158,Card,0021,Name,2022-09-04,09:42:24,Terminal,In/Out,Door
159,Card,0021,Name,2022-09-04,09:42:53,Terminal,In/Out,Door
160,Card,0363,Name,2022-09-04,09:47:03,Terminal,In/Out,Door
161,Card,0244,Name,2022-09-04,09:49:36,Terminal,In/Out,Door
162,Card,0114,Name,2022-09-04,10:05:46,Terminal,In/Out,Door
163,Card,0259,Name,2022-09-04,10:21:34,Terminal,In/Out,Door
164,Card,0275,Name,2022-09-04,11:29:55,Terminal,In/Out,Door
165,Card,0021,Name,2022-09-04,11:42:15,Terminal,In/Out,Door
166,Card,0114,Name,2022-09-04,11:47:13,Terminal,In/Out,Door
167,Card,0114,Name,2022-09-04,11:48:11,Terminal,In/Out,Door
168,Card,0114,Name,2022-09-04,11:48:23,Terminal,In/Out,Door
169,Card,4014,Name,2022-09-04,11:50:26,Terminal,In/Out,Door
170,Card,5047,Name,2022-09-04,11:52:28,Terminal,In/Out,Door
171,Card,0259,Name,2022-09-04,12:07:47,Terminal,In/Out,Door
172,Card,0259,Name,2022-09-04,12:12:32,Terminal,In/Out,Door
173,Card,0114,Name,2022-09-04,12:33:47,Terminal,In/Out,Door
174,Card,0355,Name,2022-09-04,12:55:49,Terminal,In/Out,Door
175,Card,0350,Name,2022-09-04,13:00:36,Terminal,In/Out,Door
